Candidato,Setorial,Estado,Situação,Votos
ANA CAROLINA REGIS BARRA (Ana Carolina Regis Barra) ,Arquitetura e Urbanismo ,PA ,Eleito ,1
ANA LUCIA DE CASTRO AVILA SANTOS (Ana Lucia de Castro Ávila Santos) ,Arquitetura e Urbanismo ,MT ,Inabilitado ,66
ANA VERUSKA DE MATOS (Ana Veruska de Matos) ,Arquitetura e Urbanismo ,MT ,Eleito ,10
ANNA KARLA DE ALMEIDA SANTOS (ANNA KARLA DE ALMEIDA SANTOS) ,Arquitetura e Urbanismo ,MA ,Eleito ,28
ANTONIO JOSE DE MEDEIROS SOARES (Antonio Soares) ,Arquitetura e Urbanismo ,PE ,Eleito ,51
CARLOS AMERICO KOGL (Carlos Kogl) ,Arquitetura e Urbanismo ,SP ,Eleito ,45
CAROLINA CORREIA QUEIROZ (Carolina Queiroz) ,Arquitetura e Urbanismo ,BA ,Eleito ,44
CLAUDIA HELENA CAMPOS NASCIMENTO (Claudia Helena Campos Nascimento) ,Arquitetura e Urbanismo ,RR ,Eleito ,19
CLAUDIA TERESA PEREIRA PIRES (Claudia Teresa Pereira Pires) ,Arquitetura e Urbanismo ,MG ,Habilitado ,0
DANYA REGINA RODRIGUES DA SILVA (Dânya Regina Rodrigues da Silva) ,Arquitetura e Urbanismo ,AC ,Habilitado ,1
DEUSDEDITH MONTEIRO DE CASTRO FILHO (Deusdedith Monteiro de Castro Filho) ,Arquitetura e Urbanismo ,AM ,Habilitado ,1
EDINARDO RODRIGUES LUCAS (Edinardo Rodrigues Lucas) ,Arquitetura e Urbanismo ,GO ,Eleito ,8
ELIAS ROCHA GONCALVES (Elias Rocha Gonçalves) ,Arquitetura e Urbanismo ,RJ ,Habilitado ,0
ELOANE DE JESUS RAMOS CANTUARIA (ELOANE DE JESUA RAMOS CANTUARIA) ,Arquitetura e Urbanismo ,AP ,Eleito ,129
EMILIO CARLOS MACHIO FONT (Emilio Carlos Machio Font) ,Arquitetura e Urbanismo ,ES ,Eleito ,35
FERNANDO ANTONIO SANTOS DE SOUZA (Fernando Antonio Santos de Souza) ,Arquitetura e Urbanismo ,SE ,Eleito ,10
FLAVIA COSTA DE ASSIS (FLÁVIA COSTA DE ASSIS) ,Arquitetura e Urbanismo ,RN ,Eleito ,4
GERSON GONZALEZ (Gerson González) ,Arquitetura e Urbanismo ,AP ,Habilitado ,49
GILFRANCO MEDEIROS ALVES (Gilfranco Alves) ,Arquitetura e Urbanismo ,MS ,Eleito ,11
HARIFE NASCIMENTO VIEGAS (Harife Viégas) ,Arquitetura e Urbanismo ,AP ,Eleito ,134
JEFERSON DANTAS NAVOLAR (Jeferson Dantas Navolar) ,Arquitetura e Urbanismo ,PR ,Habilitado ,1
JEFFERSON DOS SANTOS DE JESUS (Jefferson santos) ,Arquitetura e Urbanismo ,BA ,Inabilitado ,20
JORGE HENRIQUE COSTA BARROS (Jorge Henrique Costa Barros) ,Arquitetura e Urbanismo ,RJ ,Habilitado ,1
JORGE RICARDO SANTOS DE LIMA COSTA (Jorge Ricardo Santos de Lima Costa) ,Arquitetura e Urbanismo ,RJ ,Habilitado ,13
JOSE ASCLEPIADES DE JESUS RODRIGUES SOUZA (JOSÉ ASCLEPIADES DE JESUS) ,Arquitetura e Urbanismo ,AM ,Eleito ,1
JOSE MORAES JUNIOR (josé moraes júnior) ,Arquitetura e Urbanismo ,MA ,Habilitado ,27
JULIANA GOMES DE OLIVEIRA (Juliana Gomeso) ,Arquitetura e Urbanismo ,AM ,Habilitado ,1
